song_title,artist,country,language,fundamental_freq,freq_e_1,freq_e_2,freq_e_3,key,duration,zero_crossing_rate,mfcc_mean,mfcc_std,tempo,rms_energy,track_type
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,155.9452829,76174192,43619684,31081392,D#,329.0499792,0.050908429,-16.98914337,105.1437378,92.21311475,0.103757396,0
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,248.7503926,8708729,7261206,6429421.5,E,329.05,0.109646886,-34.5595665,123.9168854,135.9991776,0.052189071,1
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,332.2651992,59495520,53999544,19219044,D#,329.05,0.062261501,-17.71195412,107.5979233,92.28515625,0.074395835,2
杨宗纬张碧晨现场版《凉凉》 带我们走进十里桃花林  -《歌手2017》第13期 单曲The Singer【我是歌手官方频道】,杨宗纬,China,Chinese,115.9021368,2126529.5,1983331,1802839.75,E,363.0091667,0.048685843,-12.7964716,106.0490494,89.28571429,0.03318825,0
杨宗纬张碧晨现场版《凉凉》 带我们走进十里桃花林  -《歌手2017》第13期 单曲The Singer【我是歌手官方频道】,杨宗纬,China,Chinese,295.0460924,777762.6875,764210.1875,702600.6875,E,363.0091837,0.144016187,-36.25373077,133.8628387,161.4990234,0.019368507,1
杨宗纬张碧晨现场版《凉凉》 带我们走进十里桃花林  -《歌手2017》第13期 单曲The Singer【我是歌手官方频道】,杨宗纬,China,Chinese,119.1928522,1432261.625,1353151.875,1093192.625,E,363.0091837,0.046455054,-15.45287895,122.1097107,90.66611842,0.021167535,2
Avicii - The Nights,Avicii,Sweden,English,104.8642272,108055352,97172448,42949940,F#,190.6242292,0.077982248,4.498671055,54.70059586,125,0.242020622,0
Avicii - The Nights,Avicii,Sweden,English,264.4375255,7628955,5849825,5320009,G#,190.6242404,0.10956725,-19.9679451,86.9276123,126.0480183,0.093742006,1
Avicii - The Nights,Avicii,Sweden,English,113.9101077,76034576,52148124,36849048,C#,190.6242404,0.077727684,0.239153266,69.75262451,126.0480183,0.153434798,2
Big Bang - Day By Day (Areia Remix),Big Bang,South Korea,Korean,124.7869895,119294456,67415160,59629688,A#,253.1207256,0.069482402,-0.474105656,59.01647568,129.1992188,0.204513997,0
Big Bang - Day By Day (Areia Remix),Big Bang,South Korea,Korean,161.2567981,17696568,17201578,13459877,F#,253.1207256,0.099413731,-16.42405319,73.7092514,129.1992188,0.12716572,1
Big Bang - Day By Day (Areia Remix),Big Bang,South Korea,Korean,102.2696442,99512168,55953824,49689928,A#,253.1207256,0.05785845,-4.901799202,78.68064117,129.1992188,0.116009019,2
BIGBANG - BLUE M_V,BIGBANG,South Korea,Korean,103.3933828,264216336,236101376,86725440,G,242.048,0.042039847,3.905833721,67.88312531,125,0.22791177,0
BIGBANG - BLUE M_V,BIGBANG,South Korea,Korean,232.8821676,21709698,18173604,17886648,G,242.0480045,0.138904692,-16.44720268,84.22272491,126.0480183,0.109623507,1
BIGBANG - BLUE M_V,BIGBANG,South Korea,Korean,113.6232214,237725328,200391200,100618944,G,242.0480045,0.030649608,0.92045337,83.09378815,126.0480183,0.18006359,2
Birdy - Skinny Love (Official Music Video),Birdy,United Kingdom,English,123.8132806,46153428,29439438,28913074,E,213.6816458,0.031304476,-11.13835239,98.15251923,160.7142857,0.130731076,0
Birdy - Skinny Love (Official Music Video),Birdy,United Kingdom,English,469.8557444,7202602,6640853,5096665,E,213.6816327,0.25321378,-34.88777924,112.3304443,139.6748311,0.053079005,1
Birdy - Skinny Love (Official Music Video),Birdy,United Kingdom,English,131.3896121,35824416,24696310,18265242,E,213.6816327,0.026341853,-12.76834583,114.762146,84.72079918,0.103965536,2
Skinny Love,Birdy,United Kingdom,English,118.2664676,10088390,7121765.5,6737252,C,238.52,0.037472802,-9.729688644,92.90827179,76.01351351,0.066699617,0
Skinny Love,Birdy,United Kingdom,English,685.9870513,3007733.25,2893106,2874137.75,C,238.52,0.314365023,-33.04333496,119.1096268,97.50884434,0.03276157,1
Skinny Love,Birdy,United Kingdom,English,92.04232796,8126875.5,5329271.5,4849948.5,C,238.52,0.026909181,-11.51395226,103.7323532,75.99954044,0.046089828,2
Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,United States,English,204.9510697,212390080,195502352,100591848,F,236.7390625,0.062419811,2.156940222,64.24077606,108.1730769,0.219264477,0
Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,United States,English,234.3851424,18145810,13777264,13026098,A,236.7390703,0.106752595,-24.11170387,85.22788239,109.9567819,0.100073718,1
Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,United States,English,279.3843679,146951968,113067704,88376944,F,236.7390703,0.047860326,-0.937716782,78.40389252,109.9567819,0.14894554,2
Bruno Mars - Talking To The Moon (Official Lyric Video),Bruno Mars,United States,English,129.4580587,37749060,32659040,32249084,E,214.528,0.042189049,-1.245165467,70.93444061,144.2307692,0.187960699,0
Bruno Mars - Talking To The Moon (Official Lyric Video),Bruno Mars,United States,English,235.9537693,26720330,25368674,18333116,G#,214.5280045,0.098498785,-25.46799278,79.74142456,147.65625,0.136722088,1
Bruno Mars - Talking To The Moon (Official Lyric Video),Bruno Mars,United States,English,103.3510034,13686713,12157108,10021055,B,214.5280045,0.022851208,-5.078202724,108.1627426,72.78829225,0.09055198,2
Bryan Adams - Heaven,Bryan Adams,Canada,English,107.8727359,62995840,50580540,49930244,G,250.88,0.051644072,6.226680279,63.68954086,70.3125,0.193639621,0
Bryan Adams - Heaven,Bryan Adams,Canada,English,300.3645918,12913359,11779766,7172707.5,D,250.88,0.163080244,-25.75508308,101.7489471,139.6748311,0.07452704,1
Bryan Adams - Heaven,Bryan Adams,Canada,English,105.4248208,43928784,41216528,33734820,G,250.88,0.056657684,4.177017212,73.98229218,69.83741554,0.145375058,2
Calum Scott - Dancing On My Own (Lyrics),Calum Scott,United Kingdom,English,113.209294,28156352,18362394,18134920,C#,255.8955208,0.044893442,-3.37571907,84.6335907,112.5,0.127122059,0
Calum Scott - Dancing On My Own (Lyrics),Calum Scott,United Kingdom,English,396.6878818,15730660,13383997,11002630,C#,255.8955329,0.198049795,-27.31430435,100.7022858,112.3471467,0.080361851,1
Calum Scott - Dancing On My Own (Lyrics),Calum Scott,United Kingdom,English,82.02481422,13129350,12577369,7985713,C#,255.8955329,0.019552738,-6.836506367,119.9358902,112.3471467,0.057977948,2
Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen,Canada,English,130.1107303,51630012,34155952,15677938,G,199.401375,0.072144221,-5.325562477,79.96237946,119.6808511,0.09966933,0
Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen,Canada,English,335.2955026,787242.9375,737350.25,671830.375,G,199.4013832,0.188380305,-33.36929703,116.295372,120.1853198,0.035536055,1
Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen,Canada,English,106.3419366,41146908,36455648,14989611,G,199.4013832,0.07895891,-7.146102428,92.3646698,120.1853198,0.083527371,2
Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),Céline Dion,Canada,English,166.9377574,16208427,15544255,8901321,B,280.5086667,0.038893408,-4.181367397,87.44432068,98.68421053,0.094606638,0
Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),Céline Dion,Canada,English,261.878714,7755856,6272718,5467191,E,280.5086848,0.122849012,-31.17762566,105.7135696,112.3471467,0.065425709,1
Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),Céline Dion,Canada,English,120.7949751,14844515,12598554,7881118,B,280.5086848,0.029457897,-5.907389641,103.6963196,99.38401442,0.053418618,2
Punch - Stay With Me (feat. EXO Chanyeol) [Yu Huiyeol's Sketchbook_2018.03.14],Punch,South Korea,Korean,134.9610988,3561272,2380879.25,1410720.625,D#,196.3014966,0.044439369,-7.015113354,90.88926697,83.35433468,0.043505561,0
Punch - Stay With Me (feat. EXO Chanyeol) [Yu Huiyeol's Sketchbook_2018.03.14],Punch,South Korea,Korean,211.162571,332834.625,330347.1563,278356.6563,A#,196.3014966,0.085451327,-29.64883041,120.3246002,126.0480183,0.020855913,1
Punch - Stay With Me (feat. EXO Chanyeol) [Yu Huiyeol's Sketchbook_2018.03.14],Punch,South Korea,Korean,104.3499161,3513509.25,2308377.25,1373236.875,C,196.3014966,0.037322718,-9.407295227,112.7669373,83.35433468,0.032362461,2
陳綺貞 Cheer Chen x 貓王收音機【旅行的意義 Travel is Meaningful】單曲發行15週年特別計劃,陳綺貞,China,Chinese,125.8012625,87933608,73884544,66062452,A,314.624,0.048517563,1.908122063,66.19485474,137.195122,0.204348296,0
陳綺貞 Cheer Chen x 貓王收音機【旅行的意義 Travel is Meaningful】單曲發行15週年特別計劃,陳綺貞,China,Chinese,372.7861708,44691512,42478508,30152386,F#,314.6240136,0.196765164,-25.50891495,97.09095764,161.4990234,0.103865385,1
