User,Artist,Songs,Categories,Region,YT_link
Yahis,Robbie Williams,['Angels'],['Pop Hits'],UK,[None]
Yahis,Sam Smith,"[""I'm Not The Only One"", 'Too Good at Goodbyes']","['Deep & Dramatic', 'Deep & Dramatic']",UK,"[None, None]"
Yahis,Silence Wang,['Smile Alluring'],['Ballads & Healing'],China,[None]
Yahis,Taeyeon,['All About You'],['Ballads & Healing'],Korea,[None]
Yahis,Taeyeon ft. Dean,['Starlight'],['Ballads & Healing'],Korea,[None]
Yahis,Tanya Chua,['Red High Heels'],['Ballads & Healing'],Singapore,[None]
Yahis,Taylor Swift,"['All Too Well (10 Minute Version)', 'Back to December', 'Anti-Hero', 'Invisible', 'The Story of Us', 'Enchanted', 'Begin Again']","['Deep & Dramatic', 'Deep & Dramatic', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits']",USA,"[None, None, None, None, None, None, None]"
Yahis,Taylor Swift ft. Bon Iver,['Exile'],['Deep & Dramatic'],USA,[None]
Yahis,Taylor Swift ft. Colbie Caillat,['Breathe'],['Pop Hits'],USA,[None]
Yahis,Taylor Swift ft. Ed Sheeran,['Everything Has Changed'],['Pop Hits'],"UK, USA",[None]
Yahis,The Beatles,['Yesterday'],['Classic & Retro'],UK,[None]
Yahis,The Chainsmokers ft. Halsey,['Closer'],['Pop Hits'],USA,[None]
Yahis,The Weeknd,['Blinding Lights'],['Pop Hits'],Canada,[None]
Yahis,Tiger JK ft. Jinsil,['Reset'],['Deep & Dramatic'],Korea,[None]
Yahis,Toto,['Africa'],['Classic & Retro'],USA,[None]
Yahis,Uhm Jung Hwa,['Ending Credit'],['Deep & Dramatic'],Korea,[None]
Yahis,Urban Zakapa,['Wish'],['Ballads & Healing'],Korea,[None]
Yahis,Westlife,"['Fool Again', 'When You’re Looking Like That', 'If I Let You Go', 'Queen of My Heart', 'World of Our Own', 'Swear It Again', 'Flying Without Wings', 'My Love']","['Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits', 'Pop Hits']",Ireland,"[None, None, None, None, None, None, None, None]"
Yahis,Xue Zhiqian,['Waiting for You Till 35'],['Deep & Dramatic'],China,[None]
Yahis,Yisa Yu,['Time Cooks Rain'],['Ballads & Healing'],China,[None]
Yahis,Yoga Lin,['Fulfill'],['Deep & Dramatic'],Taiwan,[None]
Yahis,Youmi Kimura,['Always With Me'],['Soundtrack & OST'],Japan,[None]
Yahis,Yoyo Sham,['Light Chaser'],['Ballads & Healing'],China,[None]
Yahis,Zac Efron & Zendaya,['Rewrite the Stars'],['Soundtrack & OST'],USA,[None]
Yahis,Zhang Zhi Hao,['Can or Not'],['Ballads & Healing'],China,[None]
Yahis,iKON,['Love Scenario'],['Ballads & Healing'],Korea,[None]
